"Supplementary Table 3. Genbank accessions of Klebsiella pneumoniae. The associated Illumina reads were processed by the PathogenSurveillance pipeline for validation used in Figure 4A, B.",,,,,
Sample_ID,NCBI accession,Bioproject,Species,Kingdom,Sequence type
ERR025498,ERR025498,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025499,ERR025499,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025501,ERR025501,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025502,ERR025502,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025504,ERR025504,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025505,ERR025505,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025510,ERR025510,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025511,ERR025511,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025512,ERR025512,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025515,ERR025515,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025516,ERR025516,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025517,ERR025517,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025518,ERR025518,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025519,ERR025519,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025520,ERR025520,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025521,ERR025521,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025522,ERR025522,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025523,ERR025523,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025524,ERR025524,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025525,ERR025525,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025527,ERR025527,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025529,ERR025529,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025531,ERR025531,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025532,ERR025532,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025534,ERR025534,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025535,ERR025535,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025536,ERR025536,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025538,ERR025538,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025540,ERR025540,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025541,ERR025541,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025542,ERR025542,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025543,ERR025543,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025544,ERR025544,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025545,ERR025545,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025546,ERR025546,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025547,ERR025547,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
